DEBUG 2020-02-09 09:05:50,144 - push QRadioButton insertionThree
DEBUG 2020-02-09 09:05:50,144 - pop widget QRadioButton insertionThree
DEBUG 2020-02-09 09:05:50,144 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x049D3760>
DEBUG 2020-02-09 09:05:50,144 - setting property geometry
DEBUG 2020-02-09 09:05:50,144 - setting property text
DEBUG 2020-02-09 09:05:50,144 - push QRadioButton insertionFour
DEBUG 2020-02-09 09:05:50,144 - pop widget QRadioButton insertionFour
DEBUG 2020-02-09 09:05:50,144 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x049D3760>
DEBUG 2020-02-09 09:05:50,145 - setting property geometry
DEBUG 2020-02-09 09:05:50,145 - setting property text
DEBUG 2020-02-09 09:05:50,145 - push QRadioButton insertionFive
DEBUG 2020-02-09 09:05:50,145 - pop widget QRadioButton insertionFive
DEBUG 2020-02-09 09:05:50,145 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x049D3760>
DEBUG 2020-02-09 09:05:50,145 - pop widget QGroupBox groupBox
DEBUG 2020-02-09 09:05:50,145 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x049D3530>
DEBUG 2020-02-09 09:05:50,145 - setting property geometry
DEBUG 2020-02-09 09:05:50,146 - setting property text
DEBUG 2020-02-09 09:05:50,146 - push QLabel insertionAllocateLabel
DEBUG 2020-02-09 09:05:50,146 - pop widget QLabel insertionAllocateLabel
DEBUG 2020-02-09 09:05:50,146 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x049D3530>
DEBUG 2020-02-09 09:05:50,146 - setting property geometry
DEBUG 2020-02-09 09:05:50,146 - push QTextEdit insertionGivenText
DEBUG 2020-02-09 09:05:50,146 - pop widget QTextEdit insertionGivenText
DEBUG 2020-02-09 09:05:50,147 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x049D3530>
DEBUG 2020-02-09 09:05:50,147 - pop widget QWidget insertion
DEBUG 2020-02-09 09:05:50,147 - new topwidget <PyQt5.QtWidgets.QTabWidget object at 0x047E48A0>
DEBUG 2020-02-09 09:05:50,147 - push QWidget irrelevant
DEBUG 2020-02-09 09:05:50,147 - setting property geometry
DEBUG 2020-02-09 09:05:50,147 - push QTextEdit irreFullText
DEBUG 2020-02-09 09:05:50,147 - pop widget QTextEdit irreFullText
DEBUG 2020-02-09 09:05:50,147 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x049D39E0>
DEBUG 2020-02-09 09:05:50,148 - setting property geometry
DEBUG 2020-02-09 09:05:50,148 - push QTextEdit irreGivenText
